path,determination_by_human,details_if_checked_by_hand,nbr_characters,nbr_bracketed_illegible,nbr_total_qmarks,nbr_likely_illegible_qmarks,propn_total_illegible,example_bracketed_illegible,example_likely_illegible_qmarks
atsd_secretariat_database/ATCM11/wp/ATCM11_wp027_e.txt,none illegible,,2429,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp028_rev1_e.txt,none illegible,,3619,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp029_e.txt,none illegible,,1609,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp030_e.txt,none illegible,,2332,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp031_e.txt,some illegible,,1838,1,1,0,0.000544069640914,L'ANTA[?]TIQUE,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp032_e.txt,none illegible,,3199,0,9,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp033_rev2_e.txt,none illegible,,3167,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp034_e.txt,none illegible,,18981,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp034_rev4_e.txt,some illegible,scattered errors,14396,10,11,0,0.0006946373992775,"discussi[?]ns | [?]blication, | [?]. | [?]",
atsd_secretariat_database/ATCM11/wp/ATCM11_wp035_e.txt,none illegible,,1235,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp036_e.txt,none illegible,,2525,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp037_e.txt,none illegible,,9090,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp038_e.txt,some illegible,,17854,0,1,1,5.600985773496135e-05,,Jnfor?ation
atsd_secretariat_database/ATCM12/ip/ATCM12_ip001_e.txt,none illegible,,7389,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip002_e.txt,none illegible,,2708,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip003_e.txt,some illegible,,30009,5,6,1,0.0001999400179946,[?],prev?iling
atsd_secretariat_database/ATCM12/ip/ATCM12_ip004_rev2_e.txt,some illegible,,11495,0,1,1,8.699434536755111e-05,,"Carr?sse,"
atsd_secretariat_database/ATCM12/ip/ATCM12_ip005_e.txt,none illegible,,43258,0,9,1,2.311711128577373e-05,,Cometh?:
atsd_secretariat_database/ATCM12/ip/ATCM12_ip006_e.txt,some illegible,,5708,1,1,0,0.0001751927119831,G[?]dling.,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip007_e.txt,none illegible,,28146,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip008_e.txt,none illegible,,68651,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip009_e.txt,none illegible,,26389,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip011_e.txt,none illegible,,1691,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip012_e.txt,none illegible,,2686,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip013_e.txt,none illegible,,11913,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip014_e.txt,none illegible,,9844,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp001_rev1_e.txt,none illegible,,9847,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp002_e.txt,none illegible,,1108,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp003_e.txt,none illegible,,5722,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp004_rev1_e.txt,none illegible,,5834,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp005_e.txt,none illegible,,10186,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp006_e.txt,none illegible,,9916,0,0,0,0.0,,
