path,nbr_characters,nbr_bracketed_illegible,nbr_total_qmarks,nbr_likely_illegible_qmarks,propn_total_illegible,example_bracketed_illegible,example_likely_illegible_qmarks
atsd_secretariat_database/ATCM11/wp/ATCM11_wp006_e.txt,6906,2,2,0,0.0002896032435563278,"scientif[?]ically | V[?]illarroel,",
atsd_secretariat_database/ATCM11/wp/ATCM11_wp007_e.txt,6361,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp008_e.txt,4230,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp009_e.txt,6356,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp010_e.txt,7054,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp011_e.txt,4311,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp012_e.txt,3727,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp013_e.txt,3497,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp014_e.txt,6613,0,2,1,0.00015121729925903524,,w?y
atsd_secretariat_database/ATCM11/wp/ATCM11_wp015_e.txt,5909,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp016_e.txt,6429,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp017_e.txt,5745,0,1,1,0.00017406440382941688,,delit?rations.
atsd_secretariat_database/ATCM11/wp/ATCM11_wp018_e.txt,4844,2,2,0,0.00041288191577208916,accommo[?]date | Anta[?]ctic,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp019_e.txt,5879,0,11,11,0.0018710665079095085,,???????????
atsd_secretariat_database/ATCM11/wp/ATCM11_wp020_e.txt,3521,0,2,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp021_e.txt,11546,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp022_e.txt,7732,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp023_e.txt,787,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp024_e.txt,2713,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp025_e.txt,2255,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp026_e.txt,3754,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp027_e.txt,2429,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp028_rev1_e.txt,3619,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp029_e.txt,1609,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp030_e.txt,2332,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp031_e.txt,1838,1,1,0,0.000544069640914037,L'ANTA[?]TIQUE,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp032_e.txt,3199,0,9,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp033_rev2_e.txt,3167,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp034_e.txt,18981,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp034_rev4_e.txt,14396,10,11,0,0.0006946373992775772,"discussi[?]ns | [?]blication, | [?]. | [?]",
atsd_secretariat_database/ATCM11/wp/ATCM11_wp035_e.txt,1235,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp036_e.txt,2525,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp037_e.txt,9090,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp038_e.txt,17854,0,1,1,5.600985773496135e-05,,Jnfor?ation
atsd_secretariat_database/ATCM12/ip/ATCM12_ip001_e.txt,7389,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip002_e.txt,2708,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip003_e.txt,30009,5,6,1,0.00019994001799460162,[?],prev?iling
atsd_secretariat_database/ATCM12/ip/ATCM12_ip004_rev2_e.txt,11495,0,1,1,8.699434536755111e-05,,"Carr?sse,"
atsd_secretariat_database/ATCM12/ip/ATCM12_ip005_e.txt,43258,0,9,1,2.311711128577373e-05,,Cometh?:
atsd_secretariat_database/ATCM12/ip/ATCM12_ip006_e.txt,5708,1,1,0,0.0001751927119831815,G[?]dling.,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip007_e.txt,28146,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip008_e.txt,68651,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip009_e.txt,26389,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip011_e.txt,1691,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip012_e.txt,2686,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip013_e.txt,11913,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/ip/ATCM12_ip014_e.txt,9844,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp001_rev1_e.txt,9847,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp002_e.txt,1108,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp003_e.txt,5722,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp004_rev1_e.txt,5834,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp005_e.txt,10186,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp006_e.txt,9916,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp007_e.txt,4736,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp008_e.txt,17100,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp009_e.txt,6102,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp010_e.txt,6353,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp011_e.txt,2743,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp012_e.txt,3057,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp013_e.txt,5932,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp014_rev1_e.txt,5952,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp015_e.txt,3882,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp016_rev1_e.txt,2250,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp017_rev1_e.txt,3824,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp018_e.txt,4735,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp019_e.txt,3237,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp020_e.txt,2620,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp021_e.txt,1593,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp022_e.txt,28045,2,2,0,7.131395970761276e-05,MOLO[?]E[?]NAJA**,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp023_e.txt,3785,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp024_rev1_e.txt,33309,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp024_rev2_e.txt,77829,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp025_e.txt,1444,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp026_e.txt,9767,0,0,0,0.0,,
atsd_secretariat_database/ATCM12/wp/ATCM12_wp027_rev1_e.txt,1302,0,0,0,0.0,,
